,PassengerId,Survived,Age,Cabin,Pclass_1,Pclass_2,Pclass_3,C,Q,S,female,male,Parch_1,Parch_2,Parch_3,SibSp_1,SibSp_2,SibSp_3,Miss,Mr
0,1,0,22.0,0,0,0,1,0,0,1,0,1,1,0,0,0,1,0,0,1
1,2,1,38.0,1,1,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0
2,3,1,26.0,0,0,0,1,0,0,1,1,0,1,0,0,1,0,0,1,0
3,4,1,35.0,1,1,0,0,0,0,1,1,0,1,0,0,0,1,0,1,0
4,5,0,35.0,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0,0,1
5,6,0,44.5,0,0,0,1,0,1,0,0,1,1,0,0,1,0,0,0,1
6,7,0,54.0,1,1,0,0,0,0,1,0,1,1,0,0,1,0,0,0,1
7,8,0,2.0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,1
8,9,1,27.0,0,0,0,1,0,0,1,1,0,0,0,1,1,0,0,1,0
9,10,1,14.0,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,1,0
10,11,1,4.0,1,0,0,1,0,0,1,1,0,0,1,0,0,1,0,1,0
11,12,1,58.0,1,1,0,0,0,0,1,1,0,1,0,0,1,0,0,1,0
12,13,0,20.0,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0,0,1
13,14,0,39.0,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1
14,15,0,14.0,0,0,0,1,0,0,1,1,0,1,0,0,1,0,0,1,0
15,16,1,55.0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0,1,0
16,17,0,2.0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,1
17,18,1,16.5,0,0,1,0,0,0,1,0,1,1,0,0,1,0,0,0,1
18,19,0,31.0,0,0,0,1,0,0,1,1,0,1,0,0,0,1,0,1,0
19,20,1,33.0,0,0,0,1,1,0,0,1,0,1,0,0,1,0,0,1,0
20,21,0,35.0,0,0,1,0,0,0,1,0,1,1,0,0,1,0,0,0,1
21,22,1,34.0,1,0,1,0,0,0,1,0,1,1,0,0,1,0,0,0,1
22,23,1,15.0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0
23,24,1,28.0,1,1,0,0,0,0,1,0,1,1,0,0,1,0,0,0,1
24,25,0,8.0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,1,0
25,26,1,38.0,0,0,0,1,0,0,1,1,0,0,0,1,0,1,0,1,0
