,PassengerId,Age,Cabin,Pclass_1,Pclass_2,Pclass_3,C,Q,S,female,male,Parch_1,Parch_2,Parch_3,9,SibSp_1,SibSp_2,SibSp_3,Miss,Mr
0,892,34.5,0,0,0,1,0,1,0,0,1,1,0,0,0,1,0,0,0,1
1,893,47.0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,1,0,1,0
2,894,62.0,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1
3,895,27.0,0,0,0,1,0,0,1,0,1,1,0,0,0,1,0,0,0,1
4,896,22.0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,1,0
5,897,14.0,0,0,0,1,0,0,1,0,1,1,0,0,0,1,0,0,0,1
6,898,30.0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,0,1,0
7,899,26.0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,1
8,900,18.0,0,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,1,0
9,901,21.0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,1,0,1
10,902,33.5,0,0,0,1,0,0,1,0,1,1,0,0,0,1,0,0,0,1
11,903,46.0,0,1,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,1
12,904,23.0,1,1,0,0,0,0,1,1,0,1,0,0,0,0,1,0,1,0
13,905,63.0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,1,0,0,1
14,906,47.0,1,1,0,0,0,0,1,1,0,1,0,0,0,0,1,0,1,0
15,907,24.0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0
16,908,35.0,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1
17,909,21.0,0,0,0,1,1,0,0,0,1,1,0,0,0,1,0,0,0,1
18,910,27.0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,1,0,1,0
19,911,45.0,0,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,1,0
20,912,55.0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1
21,913,9.0,0,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,1
22,914,15.0,0,1,0,0,0,0,1,1,0,1,0,0,0,1,0,0,1,0
23,915,21.0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1
24,916,48.0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0
25,917,50.0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,1,0,0,1
26,918,22.0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0
27,919,22.5,0,0,0,1,1,0,0,0,1,1,0,0,0,1,0,0,0,1
28,920,41.0,1,1,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,1
29,921,45.5,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0,1
30,922,50.0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,1,0,0,1
31,923,24.0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,1,0,1
32,924,33.0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,1,0
33,925,31.5,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,1,0
34,926,30.0,1,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1
35,927,18.5,0,0,0,1,1,0,0,0,1,1,0,0,0,1,0,0,0,1
36,928,19.75,0,0,0,1,0,0,1,1,0,1,0,0,0,1,0,0,1,0
37,929,21.0,0,0,0,1,0,0,1,1,0,1,0,0,0,1,0,0,1,0
38,930,25.0,0,0,0,1,0,0,1,0,1,1,0,0,0,1,0,0,0,1
39,931,32.0,0,0,0,1,0,0,1,0,1,1,0,0,0,1,0,0,0,1
40,932,39.0,0,0,0,1,1,0,0,0,1,0,1,0,0,1,0,0,0,1
41,933,40.0,1,1,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,1
42,934,41.0,0,0,0,1,0,0,1,0,1,1,0,0,0,1,0,0,0,1
43,935,30.0,0,0,1,0,0,0,1,1,0,1,0,0,0,1,0,0,1,0
44,936,45.0,1,1,0,0,0,0,1,1,0,1,0,0,0,0,1,0,1,0
45,937,25.0,0,0,0,1,0,0,1,0,1,1,0,0,0,1,0,0,0,1
46,938,45.0,1,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1
47,939,52.5,0,0,0,1,0,1,0,0,1,1,0,0,0,1,0,0,0,1
48,940,60.0,1,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0
49,941,36.0,0,0,0,1,0,0,1,1,0,0,0,1,0,1,0,0,1,0
50,942,24.0,1,1,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,1
51,943,27.0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1
52,944,20.0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0
53,945,28.0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1,0
54,946,19.0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1
55,947,10.0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0,1
56,948,35.0,0,0,0,1,0,0,1,0,1,1,0,0,0,1,0,0,0,1
57,949,25.0,1,0,0,1,0,0,1,0,1,1,0,0,0,1,0,0,0,1
58,950,30.5,0,0,0,1,0,0,1,0,1,1,0,0,0,0,1,0,0,1
59,951,36.0,1,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0
60,952,17.0,0,0,0,1,0,0,1,0,1,1,0,0,0,1,0,0,0,1
61,953,32.0,0,0,1,0,0,0,1,0,1,1,0,0,0,1,0,0,0,1
62,954,18.0,0,0,0,1,0,0,1,0,1,1,0,0,0,1,0,0,0,1
63,955,22.0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,0,1,0
64,956,13.0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1
65,957,15.5,0,0,1,0,0,0,1,1,0,1,0,0,0,1,0,0,1,0
66,958,18.0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,0,1,0
67,959,47.0,0,1,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,1
68,960,31.0,1,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1
69,961,60.0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0
70,962,24.0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,0,1,0
71,963,21.0,0,0,0,1,0,0,1,0,1,1,0,0,0,1,0,0,0,1
72,964,29.0,0,0,0,1,0,0,1,1,0,1,0,0,0,1,0,0,1,0
73,965,28.5,1,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1
74,966,35.0,1,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0
75,967,32.5,1,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1
76,968,43.75,0,0,0,1,0,0,1,0,1,1,0,0,0,1,0,0,0,1
77,969,55.0,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,1,1,0
78,970,30.0,0,0,1,0,0,0,1,0,1,1,0,0,0,1,0,0,0,1
79,971,24.0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,0,1,0
80,972,6.0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,1,0,0,1
81,973,67.0,1,1,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,1
82,974,49.0,0,1,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,1
83,975,43.5,0,0,0,1,0,0,1,0,1,1,0,0,0,1,0,0,0,1
84,976,38.0,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1
85,977,32.5,0,0,0,1,1,0,0,0,1,1,0,0,0,0,1,0,0,1
86,978,27.0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,0,1,0
87,979,18.0,0,0,0,1,0,0,1,1,0,1,0,0,0,1,0,0,1,0
88,980,10.0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,0,1,0
89,981,2.0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,1
90,982,22.0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,1,0,1,0
91,983,24.5,0,0,0,1,0,0,1,0,1,1,0,0,0,1,0,0,0,1
92,984,27.0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0
93,985,26.0,0,0,0,1,0,0,1,0,1,1,0,0,0,1,0,0,0,1
94,986,25.0,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1
95,987,25.0,0,0,0,1,0,0,1,0,1,1,0,0,0,1,0,0,0,1
96,988,76.0,1,1,0,0,0,0,1,1,0,1,0,0,0,0,1,0,1,0
97,989,29.0,0,0,0,1,0,0,1,0,1,1,0,0,0,1,0,0,0,1
98,990,20.0,0,0,0,1,0,0,1,1,0,1,0,0,0,1,0,0,1,0
99,991,33.0,0,0,0,1,0,0,1,0,1,1,0,0,0,1,0,0,0,1
100,992,43.0,1,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0
101,993,27.0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,1,0,0,1
102,994,26.5,0,0,0,1,0,1,0,0,1,1,0,0,0,1,0,0,0,1
103,995,26.0,0,0,0,1,0,0,1,0,1,1,0,0,0,1,0,0,0,1
104,996,16.0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,1,0
105,997,28.0,0,0,0,1,0,0,1,0,1,1,0,0,0,1,0,0,0,1
106,998,21.0,0,0,0,1,0,1,0,0,1,1,0,0,0,1,0,0,0,1
107,999,20.166666666666668,0,0,0,1,0,1,0,0,1,1,0,0,0,1,0,0,0,1
108,1000,19.333333333333332,0,0,0,1,0,0,1,0,1,1,0,0,0,1,0,0,0,1
109,1001,18.5,1,0,1,0,0,0,1,0,1,1,0,0,0,1,0,0,0,1
110,1002,41.0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1
111,1003,38.5,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,0,1,0
112,1004,36.0,1,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0
113,1005,18.5,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,0,1,0
114,1006,63.0,1,1,0,0,0,0,1,1,0,1,0,0,0,0,1,0,1,0
115,1007,18.0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,1,0,0,1
116,1008,9.5,0,0,0,1,1,0,0,0,1,1,0,0,0,1,0,0,0,1
117,1009,1.0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,1,0
118,1010,36.0,1,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1
119,1011,29.0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,1,0,1,0
120,1012,12.0,0,0,1,0,0,0,1,1,0,1,0,0,0,1,0,0,1,0
121,1013,23.5,0,0,0,1,0,1,0,0,1,1,0,0,0,0,1,0,0,1
122,1014,35.0,1,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0
123,1015,28.0,0,0,0,1,0,0,1,0,1,1,0,0,0,1,0,0,0,1
124,1016,22.5,0,0,0,1,0,1,0,0,1,1,0,0,0,1,0,0,0,1
125,1017,17.0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1,0
126,1018,22.0,0,0,0,1,0,0,1,0,1,1,0,0,0,1,0,0,0,1
127,1019,32.0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,1,1,0
